id,questionText,answerText,sourceUrl,language,title
0,Can SARS-CoV-2 infect pets?,"As of April 19, the only pets incidentally exposed to COVID-19 that have tested positive, with confirmation, for SARS-CoV-2 are two pet dogs and a pet cat in Hong Kong. Another pet cat in Belgium tested positive, but details around that case are less clear.. In each case, the pet was in the care of and had close contact with a person who had been confirmed to have COVID-19. Only in the case of the cat in Belgium was there a suggestion of the animal showing clinical signs of disease and, in that case, other diseases and conditions that could have caused those same signs of illness were not ruled out and there are also questions about how samples demonstrating the presence of SARS-CoV-2 were collected and evaluated. That cat recovered.In a French study, tests (RT-PCR and antibody evaluation via an immunoprecipitation assay) performed on 21 pets (12 dogs and 9 cats) living in close contact with their 20 French veterinary student owners (2 of whom were confirmed to have COVID-19 infection and 11 more of whom showed symptoms consistent with COVID-19) all yielded negative results.Two commercial laboratories in the United States reported they have tested (RT-PCR) thousands of specimens from dogs and cats for SARS-CoV-2 and have obtained no positive results. These specimens have come from the United States, South Korea, Canada, and Europe, including regions concurrently experiencing human COVID-19 cases. While this is encouraging, the specimens tested were originally submitted for polymerase chain reaction (PCR) analysis of more common pathogens causing respiratory disease in dogs and cats and, as such, per-case information as to whether or not these dogs and cats had contact with confirmed COVID-19 positive people is not available.As of April 19, the CDC had not received any National Veterinary Services Laboratories (NVSL)-confirmed reports of pets becoming sick with COVID-19 in the United States.Preliminary findings from limited laboratory experimental studies indicate that, of species tested thus far, cats are the species most susceptible to infection with SARS-CoV-2. Some cats in these studies developed signs of clinical disease. Ferrets were also found to be susceptible to infection, but appeared less likely to develop disease. In the laboratory setting cats and ferrets were also able to transmit SARS-CoV-2 to other cats and ferrets, respectively. Dogs appeared to be susceptible to infection, but less so than cats or ferrets. Other preliminary laboratory findings indicate that poultry and pigs are not susceptible to infection with SARS-CoV-2. It is important to understand that experimentally induced infection does not mirror naturally induced infection. In other words, just because an animal can be experimentally infected via inoculation with high concentrations of purified tissue-cultured virus does not mean that it will be easily be infected with that same virus under natural conditions. The number of animals involved in these studies was also very small and conclusions were drawn based on data that, in some cases, were collected from as few as two animals.There is no evidence to suggest that animals, including pets, that may be incidentally infected by humans are playing a role in the spread of COVID-19. Human outbreaks are driven by person-to-person transmission.Pets have other types of coronaviruses that can cause them to become ill, but these are species-specific, meaning that they do not infect people and are not related to the current COVID-19 outbreak.We will continue to provide you with information as we learn more about pets and SARS-COV-2. Because animals can spread other diseases to people and people can also spread diseases to animals, it’s a good idea to always wash your hands before and after interacting with and caring for your pets, as well as before and after handling their food, supplies, and waste.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
1,How are people with COVID-19 treated?,"Current clinical management includes the application of infection prevention and control measures, such as separating the patient from other people and pets in the home and aggressive hygiene and disinfection and supportive care, including supplemental oxygen and mechanical ventilatory support when indicated. While researchers are studying new drugs and drugs that are already approved for other health conditions as possible treatments for COVID-19 (e.g., Remdesivir, hydroxychloroquine and chloroquine, investigational antivirals, immunotherapeutics, host-directed therapies), currently there are no drugs that are specifically FDA-approved for treatment of this disease. The FDA is working with drug manufacturers, researchers, and other partners to accelerate the development and approval process for COVID-19 treatments. Information on registered clinical trials for COVID-19 in the United States is available at ClinicalTrials.gov. Interest has emerged regarding ivermectin as a potential treatment after Australian scientists demonstrated that a single dose eradicated all genetic material of SARS-CoV-2 growing in cell culture within 48 hours. Additional testing in animals and people is required to determine whether these in vitro results are mirrored in vivo and what dose might be effective in treating the virus, while still being safe to administer to people. There has been similar interest around the use of chloroquine phosphate after a publication was released suggesting some efficacy for its use in treating COVID-19-associated pneumonia in clinical studies. While used to treat malaria and certain other conditions in people, chloroquine phosphate is also available in a different formulation to treat disease in aquarium fish and at least one person has died from ingesting chloroquine phosphate in that formulation. Because ivermectin is also readily available in formulations used to treat animals, similar concerns exist around the misuse of this drug and FDA has issued a warning accordingly.While we are all anxious to find a treatment for COVID-19, it is very important that people not self-medicate with prescription medications or over-the-counter drugs that are not prescribed or recommended for them by their doctor for their particular health condition(s) and veterinarians should advise clients accordingly.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
2,Can I get COVID-19 from a person not showing any clinical signs?,"Onset and duration of viral shedding and the period of infectiousness for COVID-19 are not yet known. There are reports of asymptomatic infections (detection of virus with no development of corresponding symptoms) and pre-symptomatic infections (detection of virus prior to development of symptoms) with SARS-CoV-2, but their role in transmission is not yet known. Based on existing literature, the incubation period (detection of virus prior to development of symptoms) ranges from two to 14 days.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
3,How are respiratory droplets and contact with them related to SARS-CoV-2 exposure?,"Transmission of SARS-CoV-2 most often occurs when a person infected with the virus releases droplets by coughing, sneezing, speaking, singing, or exhaling. These droplets are generally too heavy to hang in the air, and quickly fall onto floors or other surfaces. All else being equal, the stronger the exhale (coughing or sneezing as compared with normal exhalation) the more droplets are released and the farther the droplets may be dispersed. Taking this into account, many states have now adopted social distancing of 6 feet because virtually all sizes of droplets disperse short of that radius.Exhaled droplets eventually land somewhere; for example, on hands, shirt sleeves, countertops, and floors. Droplets can also land on or be transferred by touch to other often-touched surfaces, such as door handles, silver and dinnerware, keys, and steering wheels. Coronaviruses, including SARS-CoV-2, have been shown to survive in the environment from a few hours to a few days, depending on the type of surface, temperature, humidity, and contact with ultraviolet light. Touching one’s mouth, nose, or eyes with SARS-CoV-2-contaminated hands after touching contaminated surfaces is a secondary route of exposure. Results of an experimental laboratory study suggest that detectable amounts of SARS-CoV-2 virus remain in the air, and on copper, cardboard, stainless steel, and plastic during favorable conditions for the virus (71 to 73°F) for three, four, 24, 72, and 72 hours, respectively. This study, however, involved a much larger viral load than might be expected after normal exposures so the retention times reported may be a worse-case scenario. Virus was also detected in a hospital room of a COVID-19 patient prior to routine cleaning, but no virus was detected after routine cleaning of that patient’s room.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
4,How are humans most commonly exposed to the SARS-CoV-2 virus?,"SARS-CoV-2 is thought to spread mainly from person-to-person, including between people who are in close contact with one another (within about 6 feet [2 meters]), through respiratory droplets produced when an infected person coughs, sneezes or talks. Some recent studies have suggested that COVID-19 may be spread by people who are not showing symptoms of the disease, so maintaining social distance (about 6 feet) is important to preventing the spread of COVID-19. It may be possible to contract COVID-19 by touching a surface or object that has the virus on it and then touching your mouth, nose, or possibly your eyes. While this is not thought to be the main way the virus spreads, CDC recommends people practice frequent hand hygiene, which is either washing hands with soap or water or using an alcohol-based hand rub. CDC also recommends routine cleaning of frequently touched surfaces.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
5,How did SARS-CoV-2 get from bats to people? Was there an intermediate host?,"The precise mechanism of evolution of SARS-CoV-2 from bats (if that is where SARS-CoV-2 came from) to people is not presently known. At least two scenarios have been proposed. The first has the virus evolving to its current pathogenicity through natural section in a non-human host (e.g., bat) and jumping to humans. There are no documented cases of bat to human transmission of a coronavirus; previous coronaviruses have passed through an intermediate mammal host before human infection. The identity of the SARS-CoV-2 intermediate host (if there is one) is also currently unknown, but several have been suggested including pangolins and stray dogs. In an alternative scenario, a nonpathogenic version of the virus would have jumped from an animal host to humans and then evolved within humans to its current pathogenic state. These are all hypotheses based on comparative analysis of RNA coronaviral sequences and none have been confirmed to date.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
6,Is it true that SARS-CoV-2 originated in bats?,"This is a hypothesis. The RNA sequence of SARS-CoV-2 is closely related to that of other coronaviruses circulating in bats in Southeast Asia. Taxonomically, SARS-CoV-2 virus is a betacoronavirus. Using molecular clock analysis, betacoronaviruses are reported to have originated about 3,300 BC. Bats are considered to be ideal hosts for alphacoronaviruses and betacoronaviruses.Sars-CoV-2 viruses isolated from different human COVID-19 patients are reported to have almost identical sequences and the sequences are reported to be 88% and 89.1% analogous with bat-SL-CoVZC45, and 96% analogous with BatCoV RaTG13. BatCoV RaTG13 was previously detected in the horseshoe bat, which is found in South and Southeast Asia and southern and central China.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
7,"If animals can catch the virus, can they infect people?","At this time, there is no evidence to suggest that pets, livestock, or zoo animals that may be incidentally infected by humans are playing a role in the spread of COVID-19. Human outbreaks are driven by person-to-person transmission.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
8,Will this finding prompt additional testing of animals?,"No. This is an evolving situation, however, routine testing of zoo or domestic animals is not recommended at this time. Animal and public health officials may decide to test certain animals that are showing signs of illness consistent with those identified for COVID-19, but only in cases where more common causes for respiratory and/or gastrointestinal illness in those animals have been ruled out and when the affected animals have possible exposure to SARS-CoV-2 through an infected person or animal.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
9,How did the tiger contract COVID-19?,"Presumably, the tiger contracted SARS-CoV-2 from a zookeeper, who at the time of exposure had not yet developed symptoms of COVID-19.",https://www.avma.org/sites/default/files/2020-03/covid-19-faq-pet-owners.pdf,en,COVID-19: FAQs FOR PET OWNERS
